Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,123795,-,-,-,37.89,-122.3,-8,27,-8,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,3.0.6
Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Cloud Type,Dew Point,Solar Zenith Angle,Surface Albedo,Wind Speed,Relative Humidity,Temperature,Pressure,
2008,1,1,0,0,0,0,0,0,1,164.91,0.10300000000000001,3.2,86.13,5,1020,N/A
2008,1,1,0,30,0,0,0,0,1,164.68,0.10300000000000001,3.3000000000000003,86.13,4,1020,N/A
2008,1,1,1,0,0,0,0,0,1,161.99,0.10300000000000001,3.4000000000000004,85.60000000000001,4,1020,N/A
2008,1,1,1,30,0,0,0,0,1,157.73,0.10300000000000001,3.5,91.84,4,1020,N/A
2008,1,1,2,0,0,0,0,0,1,152.63,0.10300000000000001,3.6,91.59,4,1020,N/A
2008,1,1,2,30,0,0,0,0,1,147.1,0.10300000000000001,3.6,91.59,4,1020,N/A
2008,1,1,3,0,0,0,0,0,1,141.35,0.10300000000000001,3.7,91.12,4,1020,N/A
2008,1,1,3,30,0,0,0,0,1,135.49,0.10300000000000001,3.7,91.12,4,1020,N/A
2008,1,1,4,0,0,0,0,0,1,129.58,0.10300000000000001,3.7,90.22,4,1020,N/A
2008,1,1,4,30,0,0,0,0,1,123.67,0.10300000000000001,3.7,90.22,4,1020,N/A
2008,1,1,5,0,0,0,0,0,1,117.79,0.10300000000000001,3.8000000000000003,89.26,4,1020,N/A
2008,1,1,5,30,0,0,0,0,1,111.97,0.10300000000000001,3.8000000000000003,89.28,4,1020,N/A
2008,1,1,6,0,0,0,0,0,1,106.25,0.10300000000000001,3.8000000000000003,88.63,4,1020,N/A
2008,1,1,6,30,0,0,0,0,1,100.65,0.10300000000000001,3.8000000000000003,88.64,4,1020,N/A
2008,1,1,7,0,0,0,0,0,1,95.21000000000001,0.10300000000000001,3.9000000000000004,88.27,4,1020,N/A
2008,1,1,7,30,0,0,0,1,1,89.96000000000001,0.10300000000000001,3.9000000000000004,88.28,4,1020,N/A
2008,1,1,8,0,29,373,61,4,1,84.95,0.10300000000000001,4,82.09,4,1020,N/A
2008,1,1,8,30,44,560,140,0,1,80.22,0.10300000000000001,3.9000000000000004,82.10000000000001,5,1020,N/A
2008,1,1,9,0,55,671,220,1,1,75.84,0.10300000000000001,3.9000000000000004,76.79,6,1020,N/A
2008,1,1,9,30,114,307,210,3,1,71.87,0.10300000000000001,3.9000000000000004,71.65,7,1020,N/A
2008,1,1,10,0,67,803,363,1,1,68.4,0.10300000000000001,3.9000000000000004,68.56,8,1020,N/A
2008,1,1,10,30,71,838,419,0,1,65.49,0.10300000000000001,3.8000000000000003,64.02,9,1020,N/A
2008,1,1,11,0,74,859,461,1,1,63.24,0.10300000000000001,3.7,56.56,10,1020,N/A
2008,1,1,11,30,76,873,490,1,1,61.71,0.10300000000000001,3.5,56.54,11,1020,N/A
2008,1,1,12,0,77,878,504,1,1,60.96,0.10300000000000001,3.4000000000000004,51.82,12,1020,N/A
2008,1,1,12,30,179,424,385,2,1,61.02,0.10300000000000001,3.1,51.800000000000004,12,1020,N/A
2008,1,1,13,0,79,862,485,1,1,61.89,0.10300000000000001,2.9000000000000004,49.03,13,1020,N/A
2008,1,1,13,30,123,589,386,8,1,63.53,0.10300000000000001,2.7,49.02,13,1020,N/A
2008,1,1,14,0,147,399,310,3,1,65.89,0.10300000000000001,2.5,49.870000000000005,13,1020,N/A
2008,1,1,14,30,98,557,298,8,1,68.89,0.10300000000000001,2.3000000000000003,49.86,12,1020,N/A
2008,1,1,15,0,109,313,204,8,3,72.44,0.10300000000000001,2.2,56.050000000000004,12,1020,N/A
2008,1,1,15,30,76,352,159,8,3,76.48,0.10300000000000001,2.2,63.97,11,1020,N/A
2008,1,1,16,0,46,397,108,7,3,80.91,0.10300000000000001,2.3000000000000003,67.93,10,1020,N/A
2008,1,1,16,30,26,223,43,7,3,85.68,0.10300000000000001,2.4000000000000004,72.67,9,1020,N/A
2008,1,1,17,0,0,0,0,7,2,90.73,0.10300000000000001,2.6,70.39,9,1020,N/A
2008,1,1,17,30,0,0,0,7,2,96.02,0.10300000000000001,2.6,75.34,8,1020,N/A
2008,1,1,18,0,0,0,0,7,2,101.49000000000001,0.10300000000000001,2.7,75.15,8,1020,N/A
2008,1,1,18,30,0,0,0,3,2,107.11,0.10300000000000001,2.7,80.49,7,1020,N/A
2008,1,1,19,0,0,0,0,7,2,112.84,0.10300000000000001,2.7,79.52,7,1020,N/A
2008,1,1,19,30,0,0,0,7,2,118.67,0.10300000000000001,2.7,85.21000000000001,6,1020,N/A
2008,1,1,20,0,0,0,0,4,2,124.55,0.10300000000000001,2.7,83.09,6,1020,N/A
2008,1,1,20,30,0,0,0,3,2,130.46,0.10300000000000001,2.6,83.09,5,1020,N/A
2008,1,1,21,0,0,0,0,1,2,136.37,0.10300000000000001,2.6,81.65,5,1020,N/A
2008,1,1,21,30,0,0,0,8,2,142.22,0.10300000000000001,2.6,87.54,5,1020,N/A
2008,1,1,22,0,0,0,0,7,2,147.94,0.10300000000000001,2.6,86.87,5,1020,N/A
2008,1,1,22,30,0,0,0,7,2,153.41,0.10300000000000001,2.5,86.86,5,1020,N/A
2008,1,1,23,0,0,0,0,7,2,158.4,0.10300000000000001,2.5,87.16,5,1020,N/A
2008,1,1,23,30,0,0,0,7,2,162.46,0.10300000000000001,2.4000000000000004,87.13,4,1020,N/A
2008,1,2,0,0,0,0,0,7,2,164.81,0.10300000000000001,2.4000000000000004,88.18,4,1020,N/A
2008,1,2,0,30,0,0,0,7,2,164.62,0.10300000000000001,2.4000000000000004,88.17,4,1020,N/A
2008,1,2,1,0,0,0,0,7,2,161.97,0.10300000000000001,2.4000000000000004,89.44,4,1010,N/A
2008,1,2,1,30,0,0,0,7,2,157.74,0.10300000000000001,2.4000000000000004,89.44,4,1010,N/A
2008,1,2,2,0,0,0,0,7,2,152.66,0.10300000000000001,2.4000000000000004,89.92,4,1010,N/A
2008,1,2,2,30,0,0,0,7,2,147.15,0.10300000000000001,2.4000000000000004,89.92,4,1010,N/A
2008,1,2,3,0,0,0,0,7,2,141.4,0.10300000000000001,2.4000000000000004,89.59,4,1010,N/A
2008,1,2,3,30,0,0,0,7,2,135.54,0.10300000000000001,2.4000000000000004,89.59,4,1010,N/A
2008,1,2,4,0,0,0,0,4,2,129.63,0.10300000000000001,2.4000000000000004,88.65,5,1010,N/A
2008,1,2,4,30,0,0,0,4,2,123.71000000000001,0.10300000000000001,2.3000000000000003,88.64,5,1010,N/A
2008,1,2,5,0,0,0,0,8,2,117.83,0.10300000000000001,2.3000000000000003,87.15,5,1010,N/A
2008,1,2,5,30,0,0,0,8,2,112.02,0.10300000000000001,2.3000000000000003,87.15,5,1010,N/A
2008,1,2,6,0,0,0,0,8,1,106.29,0.10300000000000001,2.3000000000000003,85.39,5,1010,N/A
2008,1,2,6,30,0,0,0,7,1,100.69,0.10300000000000001,2.2,85.38,5,1010,N/A
2008,1,2,7,0,0,0,0,7,1,95.24,0.10300000000000001,2.2,84.41,5,1010,N/A
2008,1,2,7,30,0,0,0,7,1,89.98,0.10300000000000001,2.2,84.41,5,1010,N/A
2008,1,2,8,0,29,354,60,0,2,84.96000000000001,0.10300000000000001,2.2,82.16,6,1010,N/A
2008,1,2,8,30,62,54,72,3,2,80.23,0.10300000000000001,2.2,76.66,6,1010,N/A
2008,1,2,9,0,97,67,113,3,1,75.84,0.10300000000000001,2.2,69.26,7,1010,N/A
2008,1,2,9,30,68,637,266,7,1,71.86,0.10300000000000001,2,69.25,8,1010,N/A
2008,1,2,10,0,107,524,300,7,1,68.37,0.10300000000000001,1.8,65.77,9,1010,N/A
2008,1,2,10,30,100,637,365,7,1,65.45,0.10300000000000001,1.6,61.46,9,1010,N/A
2008,1,2,11,0,124,595,392,7,2,63.18,0.10300000000000001,1.4000000000000001,59.26,10,1010,N/A
2008,1,2,11,30,139,574,412,8,2,61.64,0.10300000000000001,1.2000000000000002,59.24,11,1010,N/A
2008,1,2,12,0,155,549,423,8,3,60.88,0.10300000000000001,1.1,60.160000000000004,12,1010,N/A
2008,1,2,12,30,182,413,383,4,3,60.93,0.10300000000000001,1.1,60.15,12,1010,N/A
2008,1,2,13,0,162,475,387,2,4,61.78,0.10300000000000001,1.2000000000000002,60.800000000000004,13,1010,N/A
